directedBy,Max_Rating,Min_Rating,Avg_Rating,,
Aaron Ellis,2,2,2,,
Aaron Escobar,0,0,0,,
Aaron Feldman,3.5,3.5,3.5,,
Aaron Greer,0,0,0,,
Aaron Hann,3.28134,3.28134,3.28134,,
Aaron Harvey,3,2.30986,2.54773,,
Aaron Horvath,3.02137,3.02137,3.02137,,
Aaron J. Davis,0,0,0,,
Aaron Jackson,2.5,2.5,2.5,,
Aaron James Sorenson,2,2,2,,
Aaron Katz,3.27419,2.5,2.9227825,,
Aaron Kaufman,2.4,2.4,2.4,,
Aaron Kunkel,0,0,0,,
Aaron Mirtes,2.5,1.91667,2.194446667,,
Aaron Moorhead,3.58649,3,3.355276667,,
Aaron Nee,3.03226,3.03226,3.03226,,
Aaron Norris,3,1.875,2.4276,,
Aaron Patrick Lenyear,0,0,0,,
Aaron Rose and  Joshua Leonard,3.0625,3.0625,3.0625,,
Aaron Russo,2.33333,2.33333,2.33333,,
Aaron Warren,0,0,0,,
Aaron Warwick,1,1,1,,
Aaron Wilson,2.4375,2.4375,2.4375,,
Aaron Woodley,3.75,2.14286,2.95042,,
Aaron Woolf,3.45492,3.45492,3.45492,,
Aaron Woolfolk,0,0,0,,
Aaron Young,3,3,3,,
Aarón Fernández Lesur,3.83333,3,3.416665,,
Aash Aaron,0,0,0,,
Abba Makama,4,4,4,,
Abbas Alibhai Burmawalla and  Mastan Alibhai Burmawalla,3.16176,2.39286,2.77731,,
Abbas Fahdel,3.6875,2,3.0625,,
Abbas Kiarostami,4.13636,2.81818,3.557882083,,
Abby Berlin and  Norman Foster,0,0,0,,
Abby Kohn,2.87745,2.87745,2.87745,,
Abby Mann,3.83333,3.83333,3.83333,,
Abdel Raouf Dafri,4,4,4,,
Abdellatif Kechiche,3.77969,1.75,3.28014,,
Abderrahmane Sissako,3.53,3.225,3.394523333,,
Abdolreza Kahani,3,3,3,,
Abdu Dandridge,0,0,0,,
Abdulla Karsakbayev,2,2,2,,
Abe Levitow,3.19444,3.0411,3.11777,,
Abe Schwartz,2.75,2.75,2.75,,
Abe Sylvia,3.32911,3.32911,3.32911,,
Abel Ferrara,3.55556,0,2.719484783,,
Abel Vang,2.08824,2.08824,2.08824,,
Abhay Chopra,3.59375,3.59375,3.59375,,
Abhinay Deo,3.635,3.6,3.6175,,
Abhishek Chaubey,3.39474,0,2.3613975,,
Abhishek Chaudhary,3,3,3,,
Abhishek Varman,3.45312,2,2.72656,,
Abigail Blackmore,2,2,2,,
Abner Biberman,4,0,2,,
Abner Pastoll,3.52632,3,3.26316,,
Abolhassan Davoodi,3.5,1,2.4,,
Abraham Polonsky,3.72486,0,2.20316,,
Abraham Zapruder,3.19231,3.19231,3.19231,,
Abram Room,2.9375,2.9375,2.9375,,
Achim Bornhak,3.5,3.1,3.3,,
Acán Coen,0,0,0,,
Adam Ahlbrandt,1,1,1,,
Adam Alleca,3.06034,3.06034,3.06034,,
Adam Arkin,3,3,3,,
Adam B. Stein,2.375,2.375,2.375,,
Adam Benzine,3,3,3,,
Adam Bernstein,4.07143,1.6366,2.82358,,
Adam Bhala Lough,3.67857,0,2.623958333,,
Adam Bolt,3.75,3.75,3.75,,
Adam Brooks,3.58467,1.875,2.58467,,
Adam Carolla,4.16667,2.88235,3.468138,,
Adam Coleman Howard,2.79167,1,1.895835,,
Adam Collins,0,0,0,,
Adam Collis,2.75,0,1.375,,
Adam Curtis,4.5,0,2.31594,,
Adam Dubov,1.5,1.5,1.5,,
Adam Elliot,4,3.74878,3.895123333,,
Adam Feinstein,3.5,3.5,3.5,,
Adam Fields,1.88462,1.88462,1.88462,,
Adam Freise,4,4,4,,
Adam Friedman,0,0,0,,
Adam Garnet Jones,0,0,0,,
Adam Gierasch,3.25,2.68605,2.930073333,,
Adam Goldberg,2.3125,2.3125,2.3125,,
Adam Gray,3.25,3.25,3.25,,
Adam Green,3.14103,0,2.477453333,,
Adam Green and  Joel Moore,3.20339,3.20339,3.20339,,
Adam Irving,3.625,3.625,3.625,,
Adam Krause,1.83333,1.83333,1.83333,,
Adam Lipsius,2.95833,2.7,2.829165,,
Adam MacDonald,3.18788,2.71186,2.94987,,
Adam Mason,3.08333,1.9,2.51504,,
Adam Massey,2.675,2.675,2.675,,
Adam Meyerowitz,2.16667,2.16667,2.16667,,
Adam Neutzsky-Wulff,2.63636,2.63636,2.63636,,
Adam Newport-Berra,2.5,2.5,2.5,,
Adam Orton,3.8125,3.8125,3.8125,,
Adam Pease,3.5,3.5,3.5,,
Adam Pfleghaar,5,5,5,,
Adam R. Steigert,0,0,0,,
Adam Rapp,3.32444,2,2.44148,,
Adam Resnick,2.37376,2.37376,2.37376,,
Adam Rifkin,3.375,0,2.214025,,
Adam Ripp,5,4.1,4.55,,
Adam Rodgers,3.41176,0,1.70588,,
Adam Sanderson,3,3,3,,
Adam Sigal,0,0,0,,
Adam Silver,0,0,0,,
Adam Smith,3.93151,2.74242,3.50242,,
Adam Spinks,2,2,2,,
Adam Stephen Kelly,1.83333,1.83333,1.83333,,
Adam Stilwell,3,3,3,,
Adam Stovall,2.75,2.75,2.75,,
Adam Vardy,4.33333,4.33333,4.33333,,
Adam Wilson,0,0,0,,
Adam Wingard,3.47312,2.21403,2.81049,,
Adam Wood,2.22727,2.22727,2.22727,,
Addison Randall,4,4,4,,
Adek Drabinski,0,0,0,,
Ademir Kenovic,3.625,2.25,2.9375,,
Adi Sideman,3.5,3.5,3.5,,
Adisa,2,2,2,,
Aditya Assarat,3.75,3.75,3.75,,
Aditya Chopra,3.77465,3.18235,3.497963333,,
Aditya Datt,4,3.125,3.5625,,
Aditya Sarpotdar,3.25,3.25,3.25,,
Aditya Vikram Sengupta,3.25,2.75,3,,
Adolfas Mekas,4,4,4,,
Adolfo Aristarain,3.75,3.2,3.47182,,
Adolfo Doring,4.5,4.5,4.5,,
Adolfo Kolmerer,2.75,2.75,2.75,,
Adoor Gopalakrishnan,3.66667,2.5,3.2916675,,
Adriaan Ditvoorst,2,2,2,,
Adrian Dexter,1.66667,1.66667,1.66667,,
Adrian Goiginger,4,4,4,,
Adrian Grunberg,3.40765,2.73764,3.072645,,
Adrian Hoven,0,0,0,,
Adrian Maben,3.91667,0.5,2.208335,,
Adrian Pennick,4,4,4,,
Adrian Popovici,3.75,3.75,3.75,,
Adrian Rudomin,3.25,3.25,3.25,,
Adrian Sibley,0,0,0,,
Adrian Tanner,4,4,4,,
Adrian Teh,3.33333,0,0.8333325,,
Adrian Wills,2.5,0,1.25,,
Adriana Trigiani,3.20833,0,1.604165,,
Adriano Celentano,2.5,0,1.625,,
Adriano Cutraro,0,0,0,,
Adrienne Gruben,0,0,0,,
Adrienne Shelly,3.75,2.58333,3.29697,,
Adrià García and  Víctor Maldonado,3.26316,3.26316,3.26316,,
Adrián Cardona,3.36842,3.36842,3.36842,,
Adrián García Bogliano,3,2,2.718718,,
Adrián Saba,0,0,0,,
Affonso Uchoa,3.75,0,1.875,,
Afonso Poyart,3.73,3.1,3.338756667,,
Agata Baumgart,2,2,2,,
Agathiyan,4,4,4,,
Agnes Ng,0,0,0,,
Agnieska Holland,2.95556,2.95556,2.95556,,
Agnieszka Smoczynska,3.15657,3.15657,3.15657,,
Agnieszka Smoczyńska,3.5,3.5,3.5,,
Agnès Obadia,3.36364,3.36364,3.36364,,
Agostino Ferrente,3.5,3.5,3.5,,
Agustin,4,3,3.5,,
Agustín Díaz Yanes,3.64286,2.75,3.220714,,
Agustín Toscano,4,4,4,,
Agustín Villaronga,3.20988,3.20988,3.20988,,
Ahmad Abdalla,3.625,0,2.28125,,
Ahmed Ahmed,3.78571,3.78571,3.78571,,
Ahmed Imamovic,2.95,2.95,2.95,,
Ahmed Imamović,2,2,2,,
Ahmed Khan,2.71429,1.9375,2.317263333,,
Ahmet Ulucay,3.6,3.6,3.6,,
Ahmir-Khalib Thompson,4,4,4,,
Ahn Byeong-ki,3.375,0,2.216953333,,
Ahn Byoung-wook,1.33333,1.33333,1.33333,,
Ahn Gooc-Jin,3.77273,3.77273,3.77273,,
Ahn Kwon-tae,3.55,3,3.275,,
Ahn Sang-Hoon,2.75,0.5,1.625,,
Ai Weiwei,3.7,1.66667,2.683335,,
Aida Zyablikova,3.56818,3.56818,3.56818,,
Aidan Belizaire,3.75,3.75,3.75,,
Aileen Ritchie,3.18293,3.18293,3.18293,,
Aimee Lagos,2.88158,2.88158,2.88158,,
Aina Järvine,0,0,0,,
Aisling Chin-Yee,0,0,0,,
Aisling Walsh,4.0625,0,3.1842125,,
Aislinn Clarke,2.75,2.75,2.75,,
Aivars Freimanis,3.83333,3.83333,3.83333,,
Aiyana Elliott,3.46875,3.46875,3.46875,,
Ajai Mathai,3,3,3,,
Ajay Bhupathi,2.125,2.125,2.125,,
Ajay Bhuyan,0,0,0,,
Ajay Naidu,0,0,0,,
Ajmal Zaheer Ahmad,2.35,0.5,1.425,,
Akane Yamada,4.5,4.5,4.5,,
Akhil Paul,3.5,3.5,3.5,,
Akhtem Seitablayev,3.52273,3.52273,3.52273,,
Aki Kaurismäki,4.5,2.5,3.43251875,,
Aki Kaurismäki and  Mika Kaurismäki,3.42,3.42,3.42,,
Aki Omoshaybi,0,0,0,,
Akinyemi Sebastian Akinropo,0,0,0,,
Akira Kurosawa,4.25546,2.225,3.697867,,
Akira Nagai,4,3.53846,3.76282,,
Akira Ohsaki,0,0,0,,
Akis Konstantakopoulos,0,0,0,,
Akiva Schaffer,3.45307,2.78148,3.154228,,
Akos Armont,0,0,0,,
Akseli Tuomivaara,2.85714,2.85714,2.85714,,
Akshay Roy,2.9,2.9,2.9,,
Aktan Arym Kubat,3.16667,3.16667,3.16667,,
Al Bailey,1,1,1,,
Al Carretta,2,2,2,,
Al Pacino,3.85185,3.75,3.78788,,
Al Randall,3,3,3,,
Al Razutis,0,0,0,,
Al Waxman,2,2,2,,
Ala Eddine Slim,3.66667,3,3.333335,,
Alain Berbérian,3.75321,1.5,2.8605725,,
Alain Cavalier,3.58333,2,3.166666,,
Alain Chabat,3.48567,2.92105,3.206236,,
Alain Della Negra,3,3,3,,
Alain Desrochers,3.23077,2.75,2.9643475,,
Alain Felgenhauer,3.7,3.7,3.7,,
Alain Fresnot,4.25,4.25,4.25,,
Alain Gomis,3.3,3.3,3.3,,
Alain Gsponer,3.6,0,2.15,,
Alain Jessua,3.16667,2.57143,2.8541675,,
Alain Monne,3.75,3.75,3.75,,
Alain Resnais,4.03761,2.5,3.371508636,,
Alain Resnais and  Jorge Semprún,3.57692,3.57692,3.57692,,
Alain Robbe-Grillet,3.56818,2.6,3.089141667,,
Alain Tasma,4.25,4.25,4.25,,
Alain Zaloum,3,2.72727,2.863635,,
Alan Abel and  Jeanne Abel,0,0,0,,
Alan Arkin,3.3662,3,3.1831,,
Alan Barillaro,4.16356,4.16356,4.16356,,
Alan Beattie,2,2,2,,
Alan Berliner,4,3.13636,3.56818,,
Alan Berry,3,3,3,,
Alan Birkinshaw,2.83333,0,0.944443333,,
Alan Briggs,2,2,2,,
Alan Brown,3.32353,0,2.2765075,,
Alan Bunce,2.82,2.82,2.82,,
Alan Byron,0,0,0,,
Alan C. Blomquist,3.57692,3.57692,3.57692,,
Alan Clarke,4,2,3.243211538,,
Alan Cohn,2.7332,2.7332,2.7332,,
Alan Crosland,4.33333,0,2.404988889,,
Alan Deutsch,3,3,3,,
Alan Gadney,3.16667,3.16667,3.16667,,
Alan Gibson,3.66667,0,2.005294,,
Alan Gilsenan,4.5,4.5,4.5,,
Alan Goluboff,3.5,3.5,3.5,,
Alan Hicks,4,3.5,3.75,,
Alan Holleb,2.83333,1.88889,2.36111,,
Alan Holly,3.59375,3.59375,3.59375,,
Alan Hruska,3,0,1.78205,,
Alan J. Pakula,4.02691,0,2.8601925,,
Alan J.W. Bell,3.64819,3.64819,3.64819,,
Alan Jacobs,3.23958,0,1.61979,,
Alan James and  William Witney,2.75,2.75,2.75,,
Alan Johnson,3.43005,2.86585,3.14795,,
Alan Jonsson,3,3,3,,
Alan Lindsay,3,3,3,,
Alan Lowery,5,5,5,,
Alan Lowery and  John Pilger,4.25,3.75,4.083333333,,
Alan Mak,3.83333,0,1.877975,,
Alan Maxson,0.5,0.5,0.5,,
Alan Mehrez,2.76667,2.56077,2.66372,,
Alan Metzger,3.6,0,2.12,,
Alan Oliveira,4,4,4,,
Alan Pao,1.42857,1.42857,1.42857,,
Alan Parker,3.88294,2.69547,3.500291429,,
Alan Poul,2.8513,2.8513,2.8513,,
Alan Ravenscroft,3.33333,3.33333,3.33333,,
Alan Resnick,3.22059,2.8,3.04361,,
Alan Roberts,3.83333,0,2.233332,,
Alan Shapiro,2.67042,2.66109,2.665755,,
Alan Smithee,1,0,0.5,,
Alan Spencer,2.5,2.5,2.5,,
Alan Stewart,0,0,0,,
Alan Stivelman,3.25,3.25,3.25,,
Alan Wade,2.96154,0,1.48077,,
Alan Yuen,2.96552,0,1.48276,,
Alan Zweig,3.9,3.21875,3.559375,,
Alanis Obomsawin,4,4,4,,
Alastair Fothergill,4.4546,2.09375,3.693115,,
Alastair Fothergill and  Mark Linfield,3.87174,3.31395,3.592845,,
Alastair Orr,3.25,2.25,2.5642925,,
Alastair Reid,3,0,1.833333333,,
Alastair Siddons,4,4,4,,
Alba Sotorra,0,0,0,,
Alban Teurlai,3.16667,3.16667,3.16667,,
Albert Austin and  Victor Heerman,3.33333,3.33333,3.33333,,
Albert Brooks,3.61033,2.53398,3.295721429,,
Albert C. Gannaway,0,0,0,,
Albert Capellani,3.125,1.5,2.208333333,,
Albert Dupontel,4.5,3,3.4957125,,
Albert Falzon,3,3,3,,
Albert Finney,3.5,3.5,3.5,,
Albert Hughes and  Allen Hughes,3.61681,3.05203,3.358378,,
Albert Jan van Rees,4,4,4,,
Albert Lewin,3.65247,3.2,3.3606175,,
Albert Magnoli,3.5,2.375,2.973663333,,
Albert Maysles and  David Maysles,3.5,3.5,3.5,,
Albert Pintó,2.71429,2.71429,2.71429,,
Albert Pyun,4,0,1.971715,,
Albert Pyun and  Howie Askins and  Joe Baile,0,0,0,,
Albert Serra,3.75,2.25,3.1730775,,
Albert Shin,3,2.91667,2.958335,,
Albert T. Viola,2.5,0,1.25,,
Albert Zugsmith,3.33333,0,1.61111,,
Albert de Courville,2.5,0,1.25,,
Alberto Arvelo Mendoza,3.23077,3.23077,3.23077,,
Alberto Bevilacqua,3,0,1.5,,
Alberto Cavallone,2,0,1.277776667,,
Alberto Cortés,3.5,3.5,3.5,,
Alberto Cortés Calderón,4.25,4.25,4.25,,
Alberto Grifi,4,3.25,3.583333333,,
Alberto J. Chamorro,0,0,0,,
Alberto Marras,0,0,0,,
Alberto Porlan,3.5,3.5,3.5,,
Alberto Rodríguez,3.64109,0.5,2.6471225,,
Alberto Rondalli,1,1,1,,
Alberto San Juan,3.5,3.5,3.5,,
Alberto Sciamma,2.6,1.83333,2.227776667,,
Alberto Simone,4,0,2,,
Alberto Sordi,5,0,1.966666667,,
Alberto Vázquez,3.92391,3.92391,3.92391,,
Albrecht Viktor Blum,2.75,2.75,2.75,,
Aldo Baglio,2.41667,2.41667,2.41667,,
Aldo Florio,0,0,0,,
Aldo Francia,3.5,3.5,3.5,,
Aldo Grimaldi,0,0,0,,
Aldo Lado,3.42857,0,1.623489,,
Aldo Monti,1.5,1.5,1.5,,
Aldous Byron Clarkson,0,0,0,,
Alec C. Snowden,3,3,3,,
Alec Joler,2.6,2.6,2.6,,
Alec Mills,3.5,3,3.25,,
Alec Mouhibian,4,4,4,,
Alec Su,3.66667,3.66667,3.66667,,
Aleem Hossain,4,4,4,,
Alejandra Márquez Abella,3.22222,2.66667,2.944445,,
Alejandro Azzano,0,0,0,,
Alejandro Brugués,3.5,3.33333,3.416665,,
Alejandro Doria,3.75862,2.1,2.92931,,
Alejandro Fadel,3.125,2.5,2.8125,,
Alejandro Gamboa,0,0,0,,
Alejandro González Iñárritu,3.99387,2.5,3.53965875,,
Alejandro Hidalgo,2.85526,2.85526,2.85526,,
Alejandro Landes,3.60135,3.60135,3.60135,,
Alejandro Marzoa Blasco,0,0,0,,
Alejandro Montiel,3.0625,2.7,2.88125,,
Alejandro Springall,3.29167,2.16667,2.72917,,
Alejandro Stoessel,2.83333,2.83333,2.83333,,
Alejandro Sugich,3.5,2.5,3,,
Alejandro Suárez Lozano,3.16667,3.16667,3.16667,,
Alejo Flah,2.66667,2.25,2.458335,,
Alejo Levis,0,0,0,,
Alejo Moreno,0,0,0,,
Alekos Sakellarios,3.5,2.38889,2.904556667,,
Aleksandar Manić,3,3,3,,
Aleksandar Petrovic,3.66667,2.58333,3.20139,,
Aleksander Bach,3.04388,3.04388,3.04388,,
Aleksandr Alyoshechkin,0.5,0.5,0.5,,
Aleksandr Amirov,2,2,2,,
Aleksandr Andriyevsky,1.75,1.75,1.75,,
Aleksandr Aravin,2.83333,2.83333,2.83333,,
Aleksandr Baranov and  Timur Bekmambetov and  Oksana Bychkova and  Rezo Gigineishvili and  Dmitriy Kiselev and  Aleksandr Kott,3.14773,3.14773,3.14773,,
Aleksandr Buravsky,2.71875,2.71875,2.71875,,
Aleksandr Galibin,3.625,3.625,3.625,,
Aleksandr Gintsburg,3.125,3.125,3.125,,
Aleksandr Gordon and  Andrei Tarkovsky,2.9375,2.9375,2.9375,,
Aleksandr Itigilov,3,3,3,,
Aleksandr Ivanov,3,3,3,,
Aleksandr Ivanovsky,3.1875,3.1875,3.1875,,
Aleksandr Khvan,4,4,4,,
Aleksandr Kott,4,2.33333,3.032163333,,
Aleksandr Kurochkin,3,3,3,,
Aleksandr Melnik,3.47222,3.02083,3.246525,,
Aleksandr Mitta,4.25,2,3.187585,,
Aleksandr Molochnikov,2.16667,2.16667,2.16667,,
Aleksandr Muratov,3.5,1.83333,2.844443333,,
Aleksandr Nezlobin,2,2,2,,
Aleksandr Pavlovskiy,3.55556,3.55556,3.55556,,
Aleksandr Petrov,3.86957,3.32,3.65195,,
Aleksandr Proshkin,3.39655,2.875,3.1178875,,
Aleksandr Rou,3.76316,2.44118,3.170365,,
Aleksandr Sanin,2.66667,2.66667,2.66667,,
Aleksandr Seryj,4.01932,4.01932,4.01932,,
Aleksandr Stefanovich,2.5,2.5,2.5,,
Aleksandr Stolbov,3.5,3.5,3.5,,
Aleksandr Stolper,3,2.75,2.875,,
Aleksandr Surin,3.33333,3.33333,3.33333,,
Aleksandr V. Ivanov,1.5,1.5,1.5,,
Aleksandr Veledinskiy,2.79167,2.79167,2.79167,,
Aleksandr Voytinskiy,3.01852,1.75,2.395063333,,
Aleksandr Zakharov,2.33333,2.33333,2.33333,,
Aleksei German,3.66667,3.29412,3.425855,,
Aleksei Korenev,3.73077,2.5,3.3515925,,
Aleksei Muradov,2.5,2.5,2.5,,
Aleksei Rudakov,1.75,1.75,1.75,,
Aleksei Saltykov,2.75,2.75,2.75,,
Aleksei Shvachko,2.5,2.5,2.5,,
Aleksei Sidorov,3.61364,3.04167,3.327655,,
Aleksei Uchitel,3.625,2.79167,3.2402775,,
Aleksey Fedorchenko,3.625,3.07692,3.40064,,
Aleksey Feoktistov,2,2,2,,
Aleksey German,3.28899,2.83333,3.06116,,
Aleksey German Jr,2.9375,2.93103,2.934265,,
Aleksey Mizgiryov,3.5,2.75,3.1117425,,
Aleksey Uchitel,2.64815,2.5,2.574075,,
Aleksi Mäkelä,3.34906,2,2.758187333,,
Alena Lodkina,3.5,3.5,3.5,,
Aleqsandre Rekhviashvili,4,3.75,3.875,,
Alessandro Antonaci,0,0,0,,
Alessandro Baricco,3.1,3.1,3.1,,
Alessandro D'Alatri,2.75,2,2.375,,
Alessandro Di Robilant,2.5,2.5,2.5,,
Alessandro Metz,1.5,0,0.75,,
Alessandro Pambianco,0.5,0.5,0.5,,
Alessandro Rak,3.66667,2.78571,3.22619,,
Alessandro Redaelli,3.5,3.5,3.5,,
Alessandro Rossetto,0,0,0,,
Alessandro Siani,3.16667,3,3.083335,,
Alessio Liguori,1,0,0.5,,
Alessio Maria Federici,4,1,2.5,,
Aleta Chappelle,2.5,0,1.25,,
Alethea Jones,2.6,2.6,2.6,,
Alex Anwandter,3.5,3.5,3.5,,
Alex Bowen,3.71429,3.71429,3.71429,,
Alex Brewer,2.66258,2.66258,2.66258,,
Alex Chandon,2.28571,2,2.188986667,,
Alex Dunn,3.91667,3.91667,3.91667,,
Alex Fegan,3.5,3.5,3.5,,
Alex Fröhlich,0,0,0,,
Alex Garland,3.98821,3.5896,3.788905,,
Alex Grazioli,4.5,4.5,4.5,,
Alex Greenlee,0,0,0,,
Alex Gregory and  Peter Huyck,3.05102,3.05102,3.05102,,
Alex Grossman,3,3,3,,
Alex Guimerá,3.5,3.5,3.5,,
Alex Haughey,3.06329,3.06329,3.06329,,
Alex Hoffman,4,4,4,,
Alex Israel,1.78571,1.78571,1.78571,,
Alex Joffé,2.5,2.5,2.5,,
Alex Karonis,2.83333,2.83333,2.83333,,
Alex Kendrick,3.7328,2.84615,3.445198333,,
Alex Kirby,3.42857,3.42857,3.42857,,
Alex Lee Moyer,2.77273,2.77273,2.77273,,
Alex Lee Williams,2.5,2.5,2.5,,
Alex Lovy,2.75,2.75,2.75,,
Alex Magaña,1,1,1,,
Alex McAulay,3,3,3,,
Alex Merkin,3.5,2.05,2.858744,,
Alex Nicol,2,1.94737,1.973685,,
Alex O Eaton,0,0,0,,
Alex Orr,1.95455,1.95455,1.95455,,
Alex Orrelle,3,3,3,,
Alex Orwell,2.15625,2.15625,2.15625,,
Alex Parkinson,3.46875,3.46875,3.46875,,
Alex Petrovitch,0,0,0,,
Alex Pettyfer,2.94444,2.94444,2.94444,,
Alex Pillai,3.33333,2.33333,2.888886667,,
Alex Pitstra,2.25,2.25,2.25,,
Alex Pugsley,0,0,0,,
Alex R. Johnson,3.375,3.375,3.375,,
Alex Ranarivelo,4.5,1.75,2.996296667,,
Alex Rivera,3.5,3.18142,3.34071,,
Alex Rudzinski,2.78947,0,1.9632325,,
Alex Schaad,3.5,3.5,3.5,,
Alex Schmidt,3.3,3.3,3.3,,
Alex Segal,3.39286,2.625,3.004465,,
Alex Sichel,3.41667,3.41667,3.41667,,
Alex Smith and  Andrew J. Smith,2.83036,1,1.91518,,
Alex Steyermark,4.125,2.82653,3.442176667,,
Alex Stockman,2.5,2.5,2.5,,
Alex Thompson,3.89583,3.89583,3.89583,,
Alex Weight,0,0,0,,
Alex Wolff,3.25,3.25,3.25,,
Alex Woo,0,0,0,,
Alex de Renzy,4,4,4,,
Alexa Karolinski,4,4,4,,
Alexander Cassini,0,0,0,,
Alexander Esway and  Zoltan Korda and  John Monk Saunders and  Alexander Shaw and  Donald Taylor,2,2,2,,
Alexander Freeman,3.25,3.25,3.25,,
Alexander Gray,3.75,3.75,3.75,,
Alexander Hahn,3,3,3,,
Alexander Hammid,3.38095,3.38095,3.38095,,
Alexander Hant,3.60417,3.60417,3.60417,,
Alexander J. Wells,1,1,1,,
Alexander Janko,3.5,3.5,3.5,,
Alexander Kluge,4.5,0,2.8973225,,
Alexander Korda,4.5,2,3.401526667,,
Alexander Mackendrick,4.03099,2.77778,3.46392625,,
Alexander Nanau,4,3.25,3.625,,
Alexander Nevsky,1.26923,1.26923,1.26923,,
Alexander Payne,3.75443,0,3.120342222,,
Alexander Poe,2.66667,2.66667,2.66667,,
Alexander Ramati,0,0,0,,
Alexander Singer,3.16667,0,1.2,,
Alexander Veledinsky,3.57426,3.57426,3.57426,,
Alexander Zeldovich,2.75,2.75,2.75,,
Alexander von Richthofen,0,0,0,,
Alexandr Boguslavsky,2.125,2.125,2.125,,
Alexandr Domogarov Jr.,2.83333,2.83333,2.83333,,
Alexandr Kott,4.25,4.25,4.25,,
Alexandr Vartanov,3,3,3,,
Alexandr Zolotukhin,3.75,3.75,3.75,,
Alexandra Cassavetes,3.67647,3.67647,3.67647,,
Alexandra Dean,4.16667,3.77083,3.96875,,
Alexandra Kondracke,3.73333,3.73333,3.73333,,
Alexandra Leclère,2.875,1.75,2.25,,
Alexandra Lescaze,2.25,2.25,2.25,,
Alexandra Pelosi,3.5,0,1.684523333,,
Alexandra Shiva,4,2,3,,
Alexandra Strelyanaya,3,0,1.5,,
Alexandre Arcady,3.7,0,2.296428571,,
Alexandre Astier,3.57143,3.47816,3.53019,,
Alexandre Bustillo,2.51471,2.51471,2.51471,,
Alexandre Carrière,0,0,0,,
Alexandre Castagnetti,3.125,2.4375,2.854166667,,
Alexandre Courtès,2.85185,2.85185,2.85185,,
Alexandre Heboyan,3.53571,3.53571,3.53571,,
Alexandre Moors,3.05556,2.92553,2.990545,,
Alexandre O. Philippe,3.32143,3.22917,3.267335,,
Alexandre Promio,4,2,2.864583125,,
Alexandre Rockwell,3.26866,0,2.316472,,
Alexandre de La Patellière,2.5,2.5,2.5,,
Alexandre de La Patellière and  Matthieu Delaporte,3.72781,3.72781,3.72781,,
