directedBy,Max_Rating,Min_Rating,Avg_Rating
Adam Weissman,1.75,1.75,1.75
Adam William Ward,0,0,0.0
Adam Wimpenny,3.025,0,1.5125
Adam Wong,0,0,0.0
Adam Yauch,3.40541,2.90909,3.1603899999999996
Adamo P. Cultraro,2.6,2.6,2.6
Adan Jodorowsky,0,0,0.0
Addison Heath,0,0,0.0
Adel Al-Khadad,2.5,2.5,2.5
Adele Free Pham,0,0,0.0
Adele Tulli,2.5,2.5,2.5
Adeline Darraux,3,3,3.0
Adewale Akinnuoye-Agbaje,1.7,1.7,1.7
"Adi Lavy, Maya Stark",5,5,5.0
Adil El Arbi,3.04146,2.71429,2.8451874999999998
Adilkhan Yerzhanov,3,2.83333,2.916665
Adina Pintilie,2.7,2.7,2.7
Adirley Queirós,3.75,0,2.0
Adisorn Tresirikasem,4,4,4.0
Aditya Bhattacharya,3,3,3.0
Aditya Dhar,3.81429,3.81429,3.81429
Aditya Gupta,3.125,3.125,3.125
Adnan Ahmed,0,0,0.0
Adolf Winkelmann,3.5,2.75,3.125
Adolfo Alix Jr.,3.25,0.5,1.875
Adolfo Martínez,3,3,3.0
Adonis Kyrou,3,3,3.0
Adrian Brunel,2.5,0,0.8333333333333334
Adrian Buitenhuis,3.5,3.47619,3.492063333333333
Adrian Edmondson,2.9386,2.9386,2.9386
Adrian Grenier,3.55,0,1.775
Adrian Kwan,4,4,4.0
Adrian Langley,3,0,1.0
Adrian Lyne,3.67791,2.84722,3.20648875
Adrian Moat,2.93478,2.93478,2.93478
Adrian Noble,3.83333,3.83333,3.83333
Adrian Panek,2.75,2.75,2.75
Adrian Pasdar,1.5,1.5,1.5
Adrian Picardi,3.68182,3.68182,3.68182
Adrian Shergold,3.85279,0,2.6487433333333334
Adrian Sitaru,4,2.33333,3.4375
Adrian Vitoria,3.34375,2.65385,2.9988
Adrian Weiss,1.83333,1.83333,1.83333
Adrian Țofei,2.86364,2.86364,2.86364
"Adriana Barbaro, Jeremy Earp",3.75,3.75,3.75
Adriana Bosch,2.25,2.25,2.25
Adriana Maggs,3.1875,1.5,2.34375
Adriano Ferreri,3.75,3.75,3.75
Adrien Borzakian,2,2,2.0
Adrián Biniez,3.38235,0,1.691175
Adrián Caetano,3.5,2.88095,3.1438475
Adriënne Wurpel,2.5,2.5,2.5
Advait Chandan,3.5,3.5,3.5
Afia Nathaniel,3.08333,3.08333,3.08333
Agnes Sós,4.25,4.25,4.25
Agnieszka Holland,3.93515,0,2.849471666666667
Agnieszka Lukasiak,4,4,4.0
Agnieszka Piotrowska,3.5,3.5,3.5
Agnieszka Wojtowicz-Vosloo,2.8662,2.8662,2.8662
Agnès Jaoui,3.56477,2.875,3.280834
Agnès Merlet,3.49545,3.19811,3.331186666666666
Agnès Varda,4.11111,0,3.2683372727272726
Agus Pestol,1.75,1.75,1.75
Agustí Vila,2.7,2.7,2.7
Agustí Villaronga,3.11905,0,2.27381
Agustín Crespi,0,0,0.0
Agustín Tapia,3.5,3.5,3.5
Aharon Keshales,2.39286,2.39286,2.39286
"Aharon Keshales, Navot Papushado",3.34259,3.34259,3.34259
Ahmad Idham,0,0,0.0
Ahmed El Maanouni,3.375,3.375,3.375
Ahmed Rachedi,0,0,0.0
Ahmet Atalay,0,0,0.0
Ahmet Katıksız,3.8,3.8,3.8
Ahn Jeong-min,2.5,2.5,2.5
Ahn Yong-Hoon,0,0,0.0
Aida Begic,3,3,3.0
Aigars Grauba,3.2,2.76667,2.98889
Aik Karapetian,1.875,1.875,1.875
Ain Mäeots,4,4,4.0
Aina Sabaté-Giralt,3.20408,3.20408,3.20408
Aisha Tyler,2,2,2.0
Aishwarya R. Dhanush,4,4,4.0
Aitor Arregi,3.5,3.5,3.5
Aitor Gaizka,0,0,0.0
"Aitor Merino, Amaya Merino",3.66667,3.66667,3.66667
Ajai Vasudev,3,2.5,2.75
Ajala Bandele,5,5,5.0
Ajay Bahl,3.72222,3.3,3.51111
Ajay Chandhok,0,0,0.0
Ajay Devgn,4,4,4.0
Ajay K Pannanlal,2.5,2.5,2.5
Akan Satayev,3.6875,0,2.6100588888888887
Akarsh Khurana,3.21875,3.21875,3.21875
Akash Sherman,3.41026,0.5,1.95513
Akhtem Seitablaiev,3.5,3.5,3.5
Akihiko Shiota,3.75,1.5,3.0302433333333334
Akihiro Kashima,1,1,1.0
Akihisa Okamoto,2,2,2.0
Akiko Ohku,3.85,3,3.283333333333333
Akim Isker,3.5,3.5,3.5
Akin Omotoso,3.83333,3.83333,3.83333
Akinori Nagaoka,1.75,1.75,1.75
Akio Jissoji,4,0,2.7857149999999997
Akira Daikuhara,2.05556,2.05556,2.05556
Akira Hirose,2.83333,0,1.416665
Akira Inoue,3.52083,0,1.760415
Akira Kiyosuke,2.8125,2.8125,2.8125
Akira Nobi,0,0,0.0
Akira Saitoh,2,2,2.0
Akira Suzuki,3.36538,3.36538,3.36538
Akitarou Daichi,2,2,2.0
Akiva Goldsman,3.06902,2.89189,2.980455
Akiyoshi Sugiura,2.875,2.875,2.875
Akiyuki Shinbo,3.86638,2.66667,3.2214774999999998
Akiyuki Shinbou,3.79268,3.64583,3.719255
Aksel Hennie,3.375,3.375,3.375
Aktan Abdykalykov,3.125,3.125,3.125
Aku Louhimies,3.79114,2.35484,3.0981388888888888
Al Adamson,5,0,1.7328572
Al Campbell,3.5,3.19872,3.34936
Al Corley,2.95833,2.95833,2.95833
Al Lewis,0,0,0.0
Al Passeri,0.833333,0.833333,0.833333
Al Reinert,3.9685,3.9685,3.9685
"Al Reinert, John Dean",3.9,3.9,3.9
Al Shaw,4.375,4.375,4.375
Alaa Eddine Aljem,4,4,4.0
Alain Berliner,3.94316,2.9586,3.3005866666666663
Alain Corneau,3.76176,0,2.35576375
Alain Darborg,2.59375,2.59375,2.59375
Alain Delon,3.0625,3.0625,3.0625
Alain Guiraudie,3.46691,2.33333,3.0874300000000003
Alain Margot,3,3,3.0
Alain Patrick,0,0,0.0
Alain Robak,2.125,2.125,2.125
Alain Tanner,3.52917,2,2.9909733333333333
Alan Alda,3.44834,2.72785,2.9914425
Alan Ari Lazar,2.25,2.25,2.25
Alan Badoev,2.68182,2.68182,2.68182
Alan Ball,3.74324,3.27778,3.51051
Alan Brennan,3.8,3.8,3.8
Alan Bridges,3.75,0,1.82291625
Alan Cavalier,3.2,3.2,3.2
Alan Cooke,3.125,2.5,2.8125
Alan Cumming,3.79167,3.44703,3.61935
Alan Dossor,0,0,0.0
Alan G. Parker,2.83333,1.9,2.3666650000000002
Alan Grint,3.28571,3.28571,3.28571
Alan J. Levi,2.21429,0,1.46032
Alan Jacob,2.82759,2.82759,2.82759
Alan James,0,0,0.0
Alan Lewens,3.66667,3.66667,3.66667
Alan Madden,3.5,3.5,3.5
Alan Metter,3.5,1.85369,2.7114422222222223
Alan Myerson,2.66667,2.03227,2.43647
Alan Ormsby,0,0,0.0
Alan Peterson,3.05882,3.05882,3.05882
"Alan Polsky, Gabe Polsky",3.4,3.4,3.4
Alan Rafkin,3.375,0,2.5357716666666668
Alan Rickman,3.48419,3.34615,3.41517
Alan Rudolph,3.5,0,2.6710028571428577
Alan Schneider,3.35,3.35,3.35
Alan Smythe,2,2,2.0
Alan Swyer,2.5,2.5,2.5
Alan Taylor,3.39926,2.99542,3.226075
Alan White,4,2.5,3.1180566666666665
Alan Yang,2.90909,2.90909,2.90909
Alana Morshead,0,0,0.0
Alankrita Shrivastava,4.25,3.5,3.875
Alanté Kavaïté,3.15,3.15,3.15
"Alastair Fothergill, Keith Scholey",3.64894,3.47458,3.56176
Alber Ponte,3.33333,3.33333,3.33333
Albert Alarr,0,0,0.0
Albert Band,4,0,2.213057777777778
Albert Benitz,0,0,0.0
Albert Birney,3.3,0,1.65
Albert Boadella,0,0,0.0
Albert Chi,3.125,3.125,3.125
Albert E. Smith,3.33333,3.33333,3.33333
Albert Hanan Kaminski,0,0,0.0
Albert Herman,3,1.5,2.25
Albert Hughes,3.35495,3.35495,3.35495
Albert Johnson,3,3,3.0
Albert Kodagolian,0,0,0.0
Albert Lamorisse,4.5,3.35714,3.9159899999999994
Albert Maysles,3.7,0,2.6931966666666667
"Albert Maysles, David Maysles, Charlotte Zwerin",3.85636,3.85041,3.8533850000000003
Albert Parker,3.53636,0,1.0789766666666667
Albert Ray,2.375,0,1.53125
Albert S. Mkrtchyan,2.75,2.22222,2.49074
Albert S. Rogell,3.43333,0,1.28854125
Albert Saguer,2.5,2.5,2.5
Albert Solé,0,0,0.0
Albertina Carri,3.125,2.83333,2.979165
Alberto Arnaut Estrada,0,0,0.0
Alberto Arvelo,0,0,0.0
Alberto Bonucci,3,3,3.0
Alberto Cardone,3.33333,0,2.0555533333333336
Alberto Cavalcanti,3.7,0,1.6833333333333333
"Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer",3.73664,3.73664,3.73664
Alberto Caviglia,3,3,3.0
Alberto De Martino,5,0,1.9608215384615386
Alberto Fuguet,4.5,2.25,3.375
Alberto G. Rodriguez,3.16667,3.16667,3.16667
Alberto Genovese,2.5,2.5,2.5
Alberto J. Gorritiberea,3,3,3.0
Alberto Lattuada,3.5,0,1.8397334482758623
Alberto Lecchi,3,3,3.0
Alberto Mar,2.85,0,1.425
Alberto Marini,2.82609,2.82609,2.82609
Alberto Mariscal,3.5,3.5,3.5
Alberto Molinari,0,0,0.0
Alberto Negrin,3,0,2.0
Alberto Rizzi,2,2,2.0
Alberto Sironi,3.5,3.5,3.5
Albino Alvarez,0,0,0.0
Aldo Fabrizi,0,0,0.0
"Aldo, Giacomo, Giovanni, Massimo Venier",3.92857,3.92857,3.92857
Alec Baldwin,2.71429,2.71429,2.71429
Alec Gillis,2.45536,2.45536,2.45536
Alec Tibaldi,0,0,0.0
Alejandro Agresti,5,0,2.9573
Alejandro Amenábar,3.91621,2.76037,3.567934285714286
Alejandro Chomski,3.5,1.9375,2.71875
Alejandro Fernández Almendras,3.80769,0,2.4816825
Alejandro Galindo,4,0,1.1666666666666667
Alejandro Gomez Monteverde,3.60616,3.52235,3.564255
Alejandro Jodorowsky,4.5,2.93333,3.679956
Alejandro Legaspi Etchechury,4,4,4.0
Alejandro Martínez Beltrán,2.64286,2.64286,2.64286
Alejandro Medina,4,4,4.0
Alejandro Rojas,0,0,0.0
Alejandro Sessa,2.25,2.25,2.25
Alejo Mo-Sun,3.33333,3.33333,3.33333
Alejo Moguillansky,3.33333,0,2.25
Alek Keshishian,3.3499,2.88983,3.1418133333333333
Aleks Horvat,1,1,1.0
Aleksa Gajic,3.64,3.64,3.64
Aleksandar Petrović,4.25,3.83333,4.041665
Aleksandar Popovski,0,0,0.0
Aleksander Ford,3.375,3,3.1875
Aleksander Nordaas,3.0463,3.0463,3.0463
Aleksander Pietrzak,3.5,3.5,3.5
Aleksandr Adabashyan,2.575,2.575,2.575
"Aleksandr Alov, Vladimir Naumov",3.19643,3.19643,3.19643
Aleksandr Askoldov,3.29167,3.29167,3.29167
Aleksandr Atanesyan,3,2,2.52193
Aleksandr Baranov,2.5,2.5,2.5
Aleksandr Barshak,2.97917,2,2.489585
Aleksandr Basaev,3,3,3.0
Aleksandr Borodyanskiy,2.72222,2.72222,2.72222
Aleksandr Bubnov,2.5,2.5,2.5
Aleksandr Chernyaev,2.375,2.33333,2.354165
Aleksandr Chernykh,2.5,2.5,2.5
Aleksandr Dovzhenko,3.37097,2.33333,2.969825
Aleksandr Efremov,3.5,3.5,3.5
Aleksandr Inshakov,0,0,0.0
Aleksandr Karpilovskiy,2.16667,2.16667,2.16667
Aleksandr Kasatkin,3,2.5,2.75
Aleksandr Kaydanovskiy,2.625,2,2.3125
Aleksandr Majorov,3.25,3.25,3.25
Aleksandr Medvedkin,3.53571,3.53571,3.53571
Aleksandr Mindadze,3.5,2.25,2.875
Aleksandr Nevzorov,2.625,2.625,2.625
Aleksandr Ptushko,3.225,2.25,2.814509
Aleksandr Rogozhkin,3.84108,2.75,3.2145462499999997
Aleksandr Sokurov,4.16667,2.52941,3.1110990000000003
Aleksandr Strizhenov,2.98936,2.54167,2.76792
Aleksandr Tatarskiy,4.03111,3.25,3.6640166666666665
Aleksandr Zarkhi,3.13636,0,2.3049225
Aleksandra Gowin,2,2,2.0
Aleksandra Snezhko-Blotskaya,3.58333,2.9,3.308333333333333
Aleksei Fedorchenko,3.33929,3,3.169645
Aleksei German Ml.,2.84615,2.84615,2.84615
Aleksei Mishurin,3.5,3.45455,3.4772749999999997
Aleksei Petrukhin,2.38889,2.38889,2.38889
Aleksei Popogrebsky,3.625,3.41667,3.520835
Aleksey Andrianov,3.05556,1.5,2.27778
Aleksey Balabanov,3.87472,3.14516,3.5046354545454546
Aleksey Batalov,3.75,2.75,3.25
Aleksey Igudesman,0,0,0.0
Aleksey Krasovskiy,3.51562,3.51562,3.51562
Aleksey Nuzhnyy,3.02778,3.02778,3.02778
Aleksey Shaparev,3.5,3.5,3.5
Aleksey Sidorov,3.36111,3.36111,3.36111
Aleksey Tsitsilin,2.18182,2.16667,2.174245
Aleksi Bardy,3.125,3.125,3.125
Aleksi Salmenperä,3.71875,2.16667,3.1913814285714284
Aleksi Vellis,2.83333,2.83333,2.83333
Alesia Glidewell,5,5,5.0
Alessandra Gonnella,0,0,0.0
Alessandro Angelini,3,3,3.0
Alessandro Angulo,2.5,2.5,2.5
Alessandro Aronadio,3.5,2.66667,3.083335
Alessandro Benvenuti,0,0,0.0
Alessandro Blasetti,4,0,2.986111111111111
Alessandro Capone,4,0,1.0
Alessandro Cappelletti,2.25,2.25,2.25
Alessandro De Gaetano,2,2,2.0
Alessandro Gassman,3,3,3.0
Alessandro Genovesi,3.5,2.5,2.95
Alessandro Lunardelli,3,3,3.0
Alessandro Melazzini,2.66667,2.66667,2.66667
Alessandro Pepe,2.5,2.5,2.5
Alessandro Piva,2.5,2.5,2.5
Alessandro Pondi,3,3,3.0
Alessandro Santini,0,0,0.0
Alessio Cremonini,3.80357,0,1.901785
Alethea Arnaquq-Baril,3.75,3.75,3.75
Alethea Delmage,2,2,2.0
Alex Barrett,1,1,1.0
Alex Berry,4,4,4.0
Alex Burunova,2.11111,2.11111,2.11111
Alex Camilleri,0,0,0.0
Alex Chapple,0.5,0.5,0.5
Alex Cheung,0,0,0.0
Alex Chung,0,0,0.0
Alex Coletti,3.24074,2,2.6203700000000003
Alex Cox,4.08333,0,2.7629407692307693
Alex Craig Mann,2.25,2.25,2.25
"Alex Dawson, Greg Gricus",3.90625,3.90625,3.90625
Alex De Rakoff,3.04545,2.5,2.7727250000000003
Alex DiSanto,2.5,2.5,2.5
Alex Diaz,0,0,0.0
Alex E. Goitein,2.5,0,1.25
Alex Ferrari,0,0,0.0
Alex Galvin,1.90909,0,0.954545
Alex Garcia Lopez,2.63636,2.63636,2.63636
Alex Gibney,3.97619,3.23077,3.7049878260869566
Alex Goyette,3.10526,3.10526,3.10526
Alex Graves,3.75,2.99,3.37
Alex Holdridge,3.71951,0,1.859755
Alex Holmes,3.69492,3.38462,3.4902800000000003
Alex Horwitz,3.45833,3.45833,3.45833
Alex Infascelli,3.5,2.16667,2.872223333333333
Alex Jones,4.75,0.5,2.845317142857143
Alex K. Lee,4,4,4.0
Alex Kalymnios,3.4,3.4,3.4
Alex Karpovsky,3.55,0,2.5125
Alex Keledjian,0,0,0.0
Alex Knapp,0,0,0.0
Alex Kurtzman,3.55769,2.6079,3.082795
Alex Law,4.16667,3.59091,3.87879
Alex LeMay,0,0,0.0
Alex Lightman,3.5,3.5,3.5
Alex Loy,4,4,4.0
Alex Lutz,3.5,2.25,2.875
Alex Lykos,0,0,0.0
Alex March,4.5,2.68182,3.50505
Alex Meader,2.5,2.5,2.5
Alex Millier,3.5,3.5,3.5
Alex Minton,3.5,3.5,3.5
Alex Pires,2.66667,2.66667,2.66667
Alex Proyas,4,2.69656,3.328941428571429
Alex Pucci,1,1,1.0
Alex Richanbach,2.55882,2.55882,2.55882
Alex Ross Perry,3.26562,2.625,3.0128019999999998
Alex Rotaru,3.33333,3.33333,3.33333
Alex Shebanow,4,4,4.0
Alex Smith,2.75,2.75,2.75
Alex Stapleton,3.79,3.79,3.79
Alex Tavakoli,2.16667,2.16667,2.16667
Alex Timbers,4.1498,3.25,3.625573333333333
Alex Turner,2.99495,2.38636,2.6906549999999996
Alex Walker,0,0,0.0
Alex Winter,3.71094,1.5,2.8274766666666666
Alex Wright,5,0,2.0940469999999998
Alex Zamm,3.28571,0,2.267916
Alex de Ronde,5,5,5.0
Alex van Warmerdam,3.625,3.2,3.431842222222222
Alexander Alexeieff,3.36364,3.16667,3.265155
Alexander Babaev,3.06667,3.06667,3.06667
Alexander Boguslavskiy,2.625,2.625,2.625
Alexander E. Sokoloff,1.44444,1.44444,1.44444
Alexander Eik,3.5,0,1.3333333333333333
Alexander Finbow,0,0,0.0
Alexander Gentelev,3.07143,3.07143,3.07143
Alexander Giraldo,0,0,0.0
Alexander Grasshoff,3.39062,2.33333,2.9079833333333336
Alexander Gruszynski,1.58824,1.58824,1.58824
Alexander Hall,4,0,2.4519690476190474
Alexander Henderson,1,1,1.0
"Alexander Holt, Lance Roehrig",3.3,3.3,3.3
Alexander J. Vietmeier,2.25,2.25,2.25
Alexander Kott,3.61268,3.61268,3.61268
Alexander Mirecki,4,4,4.0
Alexander Monelli,3,3,3.0
Alexander Olch,3.5,3.5,3.5
Alexander Salazar,2,2,2.0
Alexander Sass,0,0,0.0
Alexander Sokurov,3.83333,2,3.068473
Alexander T. Hwang,0.666667,0.666667,0.666667
Alexander Tabrizi,0,0,0.0
Alexander Williams,1.625,1.625,1.625
Alexander Witt,3.01741,3.01741,3.01741
Alexander Wraith,0,0,0.0
Alexander Yellen,2.13158,1.33333,1.7324549999999999
Alexander Zelovich,3.41667,3.41667,3.41667
Alexandr Faintsimmer,0,0,0.0
Alexandr Gorchilin,2.45833,2.45833,2.45833
Alexandra Codina,3.5,3.5,3.5
Alexandra Lipsitz,3.5,3.5,3.5
Alexandra McGuinness,4,0,2.0
Alexandra Pianelli,0,0,0.0
Alexandra-Therese Keining,3.58197,3.33333,3.45765
Alexandre Aja,3.32727,2.44055,2.981988571428572
Alexandre Arpentinier,3.35714,3.35714,3.35714
Alexandre Astruc,3.25,2.5,2.875
Alexandre Avancini,0.833333,0.833333,0.833333
Alexandre Boury,2.25,2.25,2.25
"Alexandre Bustillo, Julien Maury",3.40909,2.74138,3.075235
Alexandre Carvalho,2.5,2.5,2.5
"Alexandre Castagnetti, Corentin Julius",2.66667,2.66667,2.66667
Alexandre Coffre,3.08929,2.83333,2.96131
Alexandre Espigares,3.32,3.32,3.32
"Alexandre Espigares, Laurent Witz",3.15,3.15,3.15
Alexandre Franchi,3.21429,3.21429,3.21429
Alexandre Lehmann,3.71835,3,3.4622233333333337
Alexandre Moratto,4,4,4.0
Alexandre Nahon,2,2,2.0
Alexandre Nanau,4,4,4.0
Alexandre Reinecke,2.125,2.125,2.125
Alexandre Ryder,0,0,0.0
Alexandre Volkoff,3,3,3.0
Alexandru Maftei,3.75,3.75,3.75
Alexey Balabanov,3,0,1.5
Alexey Nuzhnyy,3.65,0,2.3833333333333333
Alexij Kharitidi,2.6,2.6,2.6
Alexis Alexiou,3.22727,3.22727,3.22727
Alexis Almström,4,4,4.0
