directedBy,Total_Movies_Released
Jordan Stone,1
Maury Dexter,7
Kief Davidson,4
Kim Longinotto,8
Brendan Maher,3
Mario Zampi,8
Charles T. Kanganis,3
Stacy Title,4
"Federico Fellini, Louis Malle, Roger Vadim",1
Jon Sherman,2
George Tillman Jr.,6
George Haas,1
Tony Bui,2
Marco Ferreri,26
Michael Dinner,5
Frederick De Cordova,1
Martyn Atkins,3
Christopher Crowe,2
Sidney Hayers,19
Lewis Seiler,25
Rainer Werner Fassbinder,36
King Vidor,31
"Chris Hegedus, D.A. Pennebaker",2
Shigehiro Ozawa,4
Bernard L. Kowalski,9
Jared Hess,6
Marcus Mittermeier,1
"John Wayne, Ray Kellogg",1
Gaby Dellal,3
Ali Selim,1
Rob Stewart,2
Hesham Issawi,1
"Gregg Kavet, Andy Robin",1
Tom Ford,2
James Benning,12
Jessica Hausner,4
Chuyên Bui Thac,1
"Stefan Constantinescu, Julio Soto Gurpide",1
"David Burton, Nick Grinde",1
Nicolas Entel,1
Arnaud Viard,2
Kat Coiro,3
Paolo Genovese,7
Katja Raganelli,1
Timo Linnasalo,1
Lisa Leeman,1
Bogdan George Apetri,1
Ronnie del Carmen,1
Rob Thomas,1
Ben Wright,1
Josh C. Waller,3
Rudolf Buitendach,4
Jim Stenstrum,3
Chris Christenberry,1
David Salzberg,3
Michael Stokes,1
Camillo Bazzoni,3
Denys Arcand,8
Michael Curtiz,77
"Merian C. Cooper, Ernest B. Schoedsack",3
Tim Roth,1
Julian Goldberger,2
Francis D. Lyon,6
Myung-se Lee,2
Mel Damski,14
Robert Taylor,2
Hilary Birmingham,1
"Roger Graef, Julien Temple",1
Timothy Björklund,1
"Jules Dassin, Norman Taurog",1
Steven Seagal,1
Pieter Jan Brugge,1
Yang Li,2
Adolfo Aristarain,8
Andrzej Bartowiak,1
"Cedric Gibbons, Jack Conway, James C. McKay",1
"Ray Enright, Busby Berkeley",1
Olivier Marchal,6
Julie Delpy,6
"Colin Strause, Greg Strause",2
Mitchell Lichtenstein,3
Madonna,2
Stefan Marc,1
Kyle Newman,3
Herbert L. Strock,6
Jörn Donner,11
Veikko Aaltonen,5
"Mark Adam, David Gow",1
Stuart Beattie,2
Henry Saine,2
Jing Wong,1
Tim Fehlbaum,1
Mike Gunther,4
Raphael Fejtö,2
"Peter Lord, Jeff Newitt",1
Hun Jang,1
Dylan C. Brown,1
Darin Ferriola,2
Michael Pattinson,4
Shane O'Sullivan,3
Neele Leana Vollmar,2
David Morlet,1
"Ishirô Honda, Jerry A. Baerwitz",1
Paul Matthews,5
"Phil Karlson, Franco Cirino",1
Beth McCarthy-Miller,9
Robert Carl Cohen,1
"Will Finn, Dan St. Pierre",1
André Cayatte,6
Theodore Melfi,2
Corrado Farina,2
M. Blash,1
David Storey,1
Yuri Kanchiku,1
Alan Birkinshaw,3
Eduard Cortés,3
Paula Hernández,3
Michael Kennedy,6
Brandon Slagle,6
Robert O'Hara,1
John Johnson,4
Liliana Cavani,8
Samira Makhmalbaf,4
Mikel Conrad,1
"Daniel Myrick, Eduardo Sánchez",2
Graeme Clifford,7
George Dunning,3
Dale Launer,1
Richard Pryor,2
Gus Trikonis,11
Tom Graeff,1
Abe Levitow,2
"Alain Resnais, Jorge Semprún",1
Michael Mayer,6
Winfried Bonengel,1
Joseph Anthony,5
Ted Wilde,2
Tova Magnusson-Norling,2
"Thomas Bangalter, Guy-Manuel De Homem-Christo",1
Kim Rossi Stuart,1
"Juan Carlos Cremata Malberti, Iraida Malberti Cabrera",1
Cecilia Miniucchi,1
"William Cameron Menzies, Marcel Varnel",1
"Archie Mayo, Fritz Lang",1
Sacha Bennett,6
Carlton J. Albright,1
Jon Else,1
Philippe Muyl,4
Hae-sung Song,1
"Eric Norris, Michael Preece",1
Madeleine Sackler,3
Charles Martin,6
Rick Reinert,2
John Doyle,2
Martin Zandvliet,4
Robert C. Hughes,3
"Mike McCoy, Scott Waugh",1
Anders Engström,2
Eugene Forde,8
Jérôme Cornuau,2
Robert Greene,4
"Michael Gunton, Martha Holmes",1
Dore Schary,2
Rama Burshtein,2
"Tom Logan, Hugh Parks",1
Massimiliano Cerchi,2
Nicolás Alcalá,1
Boudewijn Koole,3
"Morris Engel, Ruth Orkin",1
Zachary Heinzerling,1
James Rasin,1
Adam Rodgers,2
Michael Doneger,2
Michaël R. Roskam,2
Chia Yung Liu,2
"Eugene Forde, George Hadden",1
Eskil Vogt,1
"Justin Benson, Gregg Bishop, Aaron Moorhead, Marcel Sarmiento, Nacho Vigalondo",1
Paul Sharits,1
Stuart Simpson,1
Wong Jing,23
Brandon Nutt,2
Miguel Albaladejo,1
Kimberly Seilhamer,1
Tuija-Maija Niskanen,1
Paul Michael Glaser,6
Rafael Moleón,1
Nils Gaup,7
Bob Rafelson,9
Dan Ireland,6
Griffin Dunne,6
Mark Waters,11
Kari Skogland,13
Benoît Jacquot,15
Terry Hughes,3
Jeff Burr,13
P.J. Castellaneta,1
Jasmin Dizdar,2
Anne De Salvo,1
David Butler,38
"Lasse Åberg, Peter Hald",1
Yvan Attal,6
Derek Jarman,11
Jonathan Karsh,1
"Harrie Geelen, Bjørn Frank Jensen, Bert Kroon",1
James Anderson,1
Lance Rivera,3
"Rupert Julian, Lon Chaney, Ernst Laemmle, Edward Sedgwick",1
Amando de Ossorio,14
Jenna Fischer,1
Philip Chidel,2
Tom Clegg,17
Matthew Ogens,3
Stuart Townsend,1
Ivan Vyrypayev,1
Joe Ahearne,4
Alberto Cavallone,3
"Tobias Lindholm, Michael Noer",1
Michel Orion Scott,1
"Bernardo Bertolucci, Claire Denis, Mike Figgis, Jean-Luc Godard, Jirí Menzel, Michael Radford, Volker Schlöndorff, István Szabó",1
David Gregory,7
Nicolas Saada,2
Michael Maliani,1
Edwin,2
Jim Clark,2
Lorraine Levy,1
Je-kyu Kang,1
Benjamin Whalley,2
Rowan Athale,2
Dean Hewison,1
"Ken Annakin, Sam Itzkovitch",1
Jörg Bundschuh,1
"Gordon Chan, Janet Chun",1
C.M. Pennington-Richards,2
"Tim Coleman, James Fox, Boris Zubov",1
Anton King,1
George Ovashvili,1
Hanns Schwarz,2
"Thomas Beecher, Joe Clarke",1
Alton Glass,2
Mira Nair,11
Danny DeVito,8
W.S. Van Dyke,34
Richard Fleischer,39
Akira Kurosawa,30
Larry Bishop,2
Billy Bob Thornton,4
Emilio Estevez,7
Katja von Garnier,4
Christopher McQuarrie,4
Allan Arkush,8
Harry Hook,3
"Gerry Chiniquy, Friz Freleng, Phil Monroe",1
Dan Hoskins,1
Denzel Washington,3
Tay Garnett,25
"Cory Edwards, Todd Edwards, Tony Leech",1
Chuan Lu,2
Vidhu Vinod Chopra,6
Kim Chapiron,3
"Scott Dalton, Margarita Martinez",1
Scott Prendergast,1
Constantine Nasr,2
Jon Cassar,8
Ray McKinnon,3
Ti West,7
"Roy Del Ruth, W.S. Van Dyke",1
Tanya Hamilton,1
Laurent Preyale,1
Zach LeBeau,1
Susan Morgan Cooper,1
Serhat Caradee,1
Nisha Pahuja,1
Jeffery Schwarz,1
Gavin Claxton,1
"Rupert Friend, Jacob Chase, Robert Festinger, Chris Foggin, Benjamin Grayson, Jay Kamen, Neil LaBute",1
Paul Wright,2
Daniel Zirilli,9
Alan Zweig,2
Mohit Suri,9
Jeremy Snead,1
"Steven Ascher, Jeanne Jordan",1
Lawrence Schiller,2
Steve Stark,1
James Chankin,2
Alfredo Soderguit,1
Chen Kaige,3
"Joel Coen, Ethan Coen",6
Arthur Hiller,30
Tanya Wexler,4
Tom Moore,3
Po-Chih Leong,8
Mark Osborne,3
Tom Brady,3
Michael Karbelnikoff,2
Chris Stokes,8
Allan Burns,1
Mark Kitchell,2
"Youssef Chahine, Amos Gitai, Alejandro González Iñárritu, Shôhei Imamura, Claude Lelouch, Ken Loach, Samira Makhmalbaf, Mira Nair, Idrissa Ouedraogo, Sean Penn, Danis Tanovic",1
Ken Blakey,1
Teddy Chan,3
"Ines Paris, Daniela Fejerman",1
Joseph Castelo,2
"David Bruckner, Dan Bush, Jacob Gentry",1
Robert Cuffley,4
Michael Patrick King,2
Yôichi Sai,3
Diane English,1
Jake Clenell,1
Yannis Smaragdis,3
Conor McPherson,4
Anders Grönros,3
"Paul Fierlinger, Sandra Fierlinger",1
Jérôme Salle,5
Rich Cowan,3
Frank Popper,1
"Jean-Luc Godard, Ugo Gregoretti, Pier Paolo Pasolini, Roberto Rossellini",1
Phil Weinstein,4
Craig Carlisle,1
Yoshikatsu Kimura,1
Don Hertzfeldt,13
Brian Trenchard Smith,1
Timothy Greenfield-Sanders,4
Stéphane Rybojad,1
Thierry Zéno,1
Jeremiah Chechik,1
Kenny Leon,4
Sonia Fritz,1
Stuart Murdoch,1
Peter Moss,3
Norman Lear,1
Jean-Marc Rudnicki,1
Raoul Lévy,2
Ian Clark,1
Sydney Pollack,21
Frank Marshall,5
Toru Murakawa,1
Luis Llosa,6
Jim Sheridan,9
Ray Austin,3
Terrence Malick,10
Ken Finkleman,3
George Jackson,1
Danny Leiner,5
Alejandro González Iñárritu,8
David Kane,1
Frank Novak,1
Michael Lessac,1
David Byrne,1
"Atsuko Fukushima, Hiroyuki Kitakubo, Hiroyuki Kitazume, Mao Lamdao, Kôji Morimoto, Takashi Nakamura, Hidetoshi Omori, Katsuhiro Ôtomo, Yasuomi Umetsu",1
"Tom Gries, Monte Hellman",1
Warren Leight,1
Si-myung Lee,1
Louis Leterrier,6
Dariush Mehrjui,9
Esteban Sapir,2
Aleksandr Seryj,1
Alan Poul,1
"W.S. Van Dyke, Robert B. Sinclair, Richard Thorpe",1
Michael Rowe,3
Will Canon,2
Stephen K. Bannon,4
Martin Barnewitz,2
Nick Whitfield,1
Philippe le Guay,1
Phillip Montgomery,1
Jeff Orlowski,3
Marcus Graves,1
Benjamin Carland,2
Lawrence Kasdan,1
Douglas Jackson,15
Nancy Buirski,3
Keiichi Hara,9
Sara St. Onge,1
Peter W. Kunhardt,5
Chris Luloff,1
"Don Hall, Chris Williams",1
"Antoine Delesvaux, Joann Sfar",1
Amos Sefer,1
Byron Turk,1
Tim Miller,2
Diego Velasco,1
Alan Parker,14
Rowdy Herrington,8
Rob Cohen,14
Robert Dornhelm,10
Mike van Diem,3
"Roberto Benigni, Michel Filippi",1
"Sidney Franklin, Victor Fleming, Gustav Machatý",1
Marzieh Meshkini,1
Henry Barrial,4
Douglas Day Stewart,2
Daniel Attias,1
Fernando León de Aranda,1
"Efram Potelle, Kyle Rankin",1
Jane Anderson,4
Arthur Allan Seidelman,18
Alan Crosland,9
Ron Krauss,2
"Chuck Jones, Ben Washam",1
Robert Krause,1
James C. Strouse,3
Terry Kinney,1
Scott L. Flynn,1
Jacek Bromski,3
Pilar Miró,3
Matthew Crouch,1
"Joonas Berghäll, Mika Hotakainen",1
Brandon Vietti,4
Krishna Rao,1
Miika Ullakko,1
J. Walter Ruben,8
Ahmed Khan,3
Vladimir Khotinenko,6
Daniel Taradash,1
Maximilian Schell,6
"Monte Hellman, Tony Brandt",1
Giovanni Veronesi,14
Hamilton MacFadden,4
Kyung-Taek Kwak,1
Hyeong-Cheol Kang,1
Salvador Litvak,2
"Eric Byler, Annabel Park",1
Denis Delestrac,3
Steven Kessler,1
Karl Hartl,3
Enrico Casarosa,1
Dennis Dortch,1
Ralph Smart,3
Keith Allen,1
Jeff Baena,4
Sara Dosa,2
Adam Ripp,2
Alice Rohrwacher,4
Rasmus Breistein,1
Maya Deren,6
Patrick Meaney,4
"Shira Potash, Yoav Potash",1
"Youssef Delara, Michael D. Olmos",1
Maria Peters,6
Michael Berz,1
Cyril Gardner,1
Nash Edgerton,3
Rachel Talalay,7
Peter Weir,14
Daniel Petrie Jr.,3
Stuart Baird,3
Ming-liang Tsai,7
Majid Majidi,9
Nancy Savoca,6
Paul McGuigan,8
Giuliano Montaldo,10
Lang Elliott,2
Allan Miller,1
Buzz Kulik,12
Robin Hardy,3
Mark Brown,3
Arthur H. Nadel,2
Michael Kalesniko,1
Ed Decter,1
Paul Hunter,1
Pavel Chukhray,4
Jack Couffer,4
György Pálfi,6
Bruce Campbell,2
Ramin Bahrani,8
Michael O. Sajbel,3
Julia Loktev,2
Michael Ian Black,1
Sebastian Schipper,5
"Saam Farahmand, Soulwax",1
Rigoberto Castañeda,3
Hiroshi Saitô,1
Stevan Riley,4
Tetsuro Amino,3
Kabir Khan,6
"Gil Cates Jr., Julie Stevens",1
Bohdan Sláma,4
"Milton Gray, Marsh Lamore, Bob Shellhorn, Mike Svayko",1
Sherry Horman,2
Michael Epstein,5
Jorge Sanjinés,2
Víctor Gaviria,4
John Moffitt,10
"Declan Donnellan, Nick Ormerod",1
Albert Falzon,1
Anne Renton,1
Harold Cronk,6
Carlo De Rosa,1
Simon Klose,1
Fredrik Lindström,1
Steven Knight,3
Philip G. Flores,1
Helma Sanders-Brahms,5
Nat Christian,3
Timothy Lanzone,1
Stanley M. Brooks,1
Gerard Johnstone,1
Hubertus Siegert,1
Richard Gray,6
J.M.R. Luna,1
David Blyth,4
"Phelim McAleer, Ann McElhinney, Magdalena Segieda",1
Steve Purcell,4
Lee McConnell,1
Ken Loach,28
Todd Verow,7
Hervé Palud,2
Gordon Willis,1
John Sturges,36
Harry Beaumont,19
Charles Jarrott,15
Tony Kaye,4
Andrew J. Kuehn,2
Joseph Sargent,40
Scott Elliott,2
Desmond Davis,6
Jules Dassin,20
Peter Werner,15
Gary Hardwick,2
Brendan Malloy,2
Sam Jones,3
Tony Cinciripini,1
Francisco J. Lombardi,7
"Sam Green, Bill Siegel",1
Fred Coe,3
Markku Pölönen,9
Ol Parker,3
Edward A. Blatt,2
Noam Murro,2
Mack V. Wright,6
Mari Rantasila,3
Roy Burdine,2
Julie Anne Robinson,3
Slava Tsukerman,1
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",2
"Sam Liu, Lauren Montgomery",2
Lech Majewski,8
Gonzalo López-Gallego,5
"Ken Burns, Lynn Novick",1
Eduardo Rodriguez,4
John O'Kane,1
Gerard Johnson,3
Veronica Kedar,1
"George Amy, Busby Berkeley",1
Jacek Borcuch,3
Kazuya Murata,1
Jack Heller,2
Adam Neutzsky-Wulff,1
Robert Vincent O'Neill,6
"John Lands, Russell Appling",1
Ebrahim Hatamikia,5
"Rupert Hitzig, Jason O'Malley",1
"Geoff Moore, David Posamentier",1
Michael Webber,1
"Ken Girotti, Tara Ellis",1
"Chris Hegedus, Erez Laufer, D.A. Pennebaker",1
Terry Klassen,2
Grigori Aleksandrov,5
"Abby Berlin, Norman Foster",1
William Gibson,1
Gregg Araki,12
Randall Miller,8
Anthony Minghella,7
Nick Cassavetes,8
Barbra Streisand,4
Stefan Schwietert,1
Paul Miller,13
Alan Cohn,1
Karl Freund,3
"Roger Corman, Charles B. Griffith, Mel Welles",1
Ida Lupino,6
Ben Younger,3
Jonathan Winfrey,7
Fritz Böttger,2
Jim Malone,2
Cy Endfield,17
Miles Swain,1
George Pollock,5
"Peter Chung, Andy Jones, Yoshiaki Kawajiri, Takeshi Koike, Mahiro Maeda, Kôji Morimoto, Shinichirô Watanabe",1
Peter Dalle,4
Toshiya Shinohara,4
Prachya Pinkaew,6
Rick Stevenson,2
James F. Collier,4
Hideo Gosha,13
Richard Claus,2
Calin Peter Netzer,2
José Mojica Marins,3
Manuel Huerga,2
Sergey Bodrov Jr.,1
Roberto Gavaldón,16
Donal MacIntyre,1
Emilio Aragón,2
Renato Castellani,6
Mike Ott,1
Javier Fuentes-Leon,1
Matt Lang,5
Sarah Pia Anderson,1
Alex Nicol,2
Ismaël Ferroukhi,2
"Gangliang Fang, Ping Jiang",1
Marcus Baldini,2
Curt Siodmak,1
Kieran Darcy-Smith,2
Keanu Reeves,1
Norman Stone,4
"Warren Kiefer, Luciano Ricci, Michael Reeves",1
Olivier Coussemacq,1
Jonathan Newman,3
Christopher Storer,4
Antti Haikala,1
Michael Hurst,5
Robert A. Endelson,1
John Michael Elfers,2
Leone Marucci,1
François Leterrier,3
Guy Ferland,7
Tim Burton,23
Dennis Hopper,7
Carlo Rola,2
Richard Schenkman,8
Benoit Jacquot,1
Godfrey Reggio,6
Greta Schiller,2
Nancy Meckler,2
George Waggner,9
Jörg Buttgereit,5
Silvio Soldini,6
Petter Næss,8
Monte Hellman,9
"John Krish, Peter Sykes",1
Gavin Grazer,1
Nick Willing,9
Vincent Pereira,1
"Lee Kresel, Elio Petri",1
David Greene,22
Eric Louzil,5
Shane Carruth,2
Hall Bartlett,8
"Raymond Lee, Siu-Tung Ching, Hark Tsui",1
Andrés Useche,1
Richard Stanley,7
Claude Zidi,15
Kevin Willmott,2
Gil Kenan,3
Mark Anthony Galluzzo,2
Charles Jarrot,1
Rupert Wyatt,4
Rob Whittlesey,1
Dez Vylenz,1
Michael Keaton,1
Claudia Llosa,3
Oliver Hodge,1
Juraj Herz,7
Temur Babluani,1
Steven Dieveney,1
Fred Vogel,5
Dereck Joubert,1
Lois Weber,4
"Roy Rowland, Buster Keaton, Edward Sedgwick",1
Van Fischer,1
Zsolt Bács,1
Stefan Roman,1
Paul Hyett,3
Martin Provost,1
James Tuchschmidt,1
Álvaro Curiel,1
Paul Ziller,1
Patrik Syversen,3
Matt Weston,1
André Farwagi,2
James Caan,1
"Eric Idle, Aubrey Powell",1
Justin Donnelly,1
Michael Philip,2
Masayuki Asao,1
Thomas Verrette,1
Imanol Uribe,6
Jules White,7
Andrew Shortell,1
Steve Race,1
Stephen Gyllenhall,1
Vladlen Barbe,2
"Larry Leker, Paul Sabella",1
David Hogan,2
Edward Dmytryk,40
Michael Paxton,1
Charles A. Nichols,23
Gil Junger,11
Sam Mendes,8
James Clavell,4
Kevin Jordan,1
Jan Hrebejk,4
David Hamilton,5
Sandra Werneck,1
Jesus Salvador Trevino,1
James Hill,5
Wallace Worsley,3
Clive A. Smith,1
Higuchinsky,2
Marty Callner,15
Timur Bekmambetov,10
Florian Henckel von Donnersmarck,3
Chris Paine,3
"Edward Sedgwick, Buster Keaton",1
Christian Alvart,8
Tennyson Bardwell,2
"Christopher Martin, John Pilger",1
Richard Roxburgh,1
Andrew Waller,2
Vladan Nikolic,2
Jan Harlan,1
John Edginton,3
Norman McLaren,19
William Olsson,2
Pasquale Festa Campanile,19
Emma Cooper,2
Franziska Meletzky,2
"Henry King, Otto Brower",1
Susanne Rostock,1
"Olivier Nakache, Eric Toledano",2
"Dan Pita, Mircea Veroiu",1
Sheree Folkson,6
James Flood,4
Eric Idle,2
Arbaaz Khan,1
"Ian Markus, Kurt Markus",1
Stephen Marshall,1
Juan Pablo Ternicier,1
Andrew Lauer,3
Rosa von Praunheim,4
"Simon Curtis, Steve Hudson",1
Christina Yao,1
Marina Rice Bader,3
Stian Kristiansen,2
Eric Hurt,1
Mariano Laurenti,11
Richard Howard,1
Abner Biberman,2
Charles Wilkinson,1
Maiken Baird,1
Terry McDonough,2
Anna Campion,1
John Ruane,2
Joe Dante,18
Julia Dyer,2
Kasi Lemmons,5
Lavinia Currier,2
Predrag Antonijevic,1
Ken Wiederhorn,6
Hiroshi Teshigahara,9
Morton DaCosta,3
Blair Treu,7
Dick Lowry,32
Danièle Thompson,6
Zacharias Kunuk,4
"Steve Sekely, Freddie Francis",1
"Eric Bress, J. Mackye Gruber",1
Hiroyuki Nakano,2
Charles Frend,8
Pino Van Lamsweerde,1
Erik Gustavson,1
Hiroyuki Kitakubo,2
Aditya Chopra,3
Betrand Blier,1
Emilio Maillé,1
Matthew Hastings,2
Pierre Rehov,1
David Michael Latt,4
"Jon Hart, Matthew Kaufman",1
Stephen Belber,1
Ralph Hemecker,6
Shaad Ali,4
Fredrik Gertten,5
"Julien Duvivier, Victor Fleming, Josef von Sternberg",1
David de Vries,1
"Humphrey Jennings, Stewart McAllister",1
John Lechago,5
Jon Moritsugu,2
Josh Reed,1
Dustin Lance Black,1
"Andrew James, Joshua Ligairi",1
Javier Maqua,1
Hannah Fidell,3
Louis Theroux,1
Richard Laxton,6
Walter Hugo Khouri,1
Nolan Lebovitz,1
"Ben Howling, Yolanda Ramke",1
Steven Bernstein,2
Yûya Ishii,1
Matteo Cerami,1
Richard Shephard,1
C. Courtney Joyner,2
Dustin Rikert,5
James Ward Byrkit,1
"Walter Doniger, Crane Wilbur",1
Peter Engert,1
Eric Schwartz,1
"Anthony Anderson, Gary Binkow",1
Andrei Kavun,3
Matthew Patrick,2
Andrés G. Schaer,1
Clive Brook,1
Richard Donner,20
Beeban Kidron,6
George Miller,13
Michael Anderson,31
Gregor Nicholas,1
John Glen,9
Dariusz Jablonski,2
Frank Whaley,4
Tarsem Singh,5
Janusz Kaminski,1
Eric Valli,1
Jon Hess,8
Mike Mendez,7
"Jules Bass, Arthur Rankin Jr., Fumihiko Takayama, Katsuhisa Yamada",1
Bill Persky,2
John Patrick Shanley,3
"Rick Moranis, Dave Thomas",1
Coline Serreau,7
William Reilly,1
"George Butler, Robert Fiore",1
Hsiao-Hsien Hou,14
Toshihiko Masuda,1
J. Mills Goodloe,1
John Dullaghan,1
Kazuhisa Takenôchi,1
Mike White,2
"Adam Green, Joel Moore",1
Nicolas Klotz,2
Daniel Sánchez Arévalo,5
Yoichi Sai,1
"Hideaki Anno, Masayuki, Kazuya Tsurumaki",1
Rajkumar Hirani,5
Rémi Bezançon,3
Aaron Woodley,4
Dror Soref,1
Fernanda Cardoso,1
D. Ross Lederman,13
"Tono Errando, Javier Mariscal, Fernando Trueba",1
Adam Gierasch,3
Benson Lee,3
Shunsuke Kikuchi,2
Marius A. Markevicius,2
Herman Shumlin,1
James Kerwin,1
Sylvia Caminer,1
"Matthias Schweighöfer, Torsten Künstler",1
Tobias Lindholm,2
Jake Kennedy,1
Lex Marinos,2
Gilbert Gunn,1
Shaul Schwarz,2
"Hélène Giraud, Thomas Szabo",1
Gianfranco Rosi,5
Nicholas D. Wrathall,2
Jannik Hastrup,4
Vittorio Salerno,2
Jorge Torregrossa,2
Sam Auster,2
Earl Duvall,3
Michael Radford,11
Ron Shelton,9
Deran Sarafian,7
Friðrik Þór Friðriksson,9
Hugh Wilson,8
Hart Bochner,3
Howard Zieff,9
"Alfred L. Werker, Anthony Mann",1
Susan Streitfeld,2
James Merendino,6
John Turturro,5
James B. Harris,5
Jason Freeland,2
Noel Black,10
"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske",1
Dein Perry,1
Dusan Makavejev,9
"Ovidio G. Assonitis, James Cameron",1
"Dario Argento, George A. Romero",1
"J.A. Howe, Ted Wilde",1
Melvin Van Peebles,3
Don McGuire,2
George Melford,2
Paul Chart,1
Jean de Segonzac,4
David A. Cross,3
Matthew Vaughn,7
Robert Shallcross,1
"Gabriel Pascal, Harold French, David Lean",1
Tonino Valerii,9
Robert Markowitz,12
"Steve Hickner, Simon J. Smith",1
"Catherine Owens, Mark Pellington",1
J.P. Schaefer,1
Peter Schønau Fog,2
Rupert Harvey,1
Pekka Mandart,2
Marianna Palka,4
Robert Boris,5
Kari Väänänen,2
Rituparno Ghosh,3
Babbar Subhash,2
"Jaroslaw Sypniewski, Jacek Filipiak",1
James Franco,13
Nikos Koundouros,4
Janne Kuusi,2
"Louis C.K., Shannon Hartman",1
Christopher Coppola,3
Julia Leigh,1
Luiz Villaça,2
J.C. Chandor,4
Vera Farmiga,1
Aleksei Sidorov,2
Eduardo Chapero-Jackson,1
William Wellman,1
"Lawrence Elman, Antonio Von Hildebrand",1
"Suzanne Chisholm, Michael Parfit",1
Armando Bo,2
Mira Nair,1
"D. Channsin Berry, Bill Duke",1
"Jay Oliva, Ethan Spaulding",1
John Ennis,1
Arne Feldhusen,3
Bitto Albertini,14
Agustin,2
Conor Allyn,5
Lance Frank,1
Renny Harlin,21
John Schlesinger,21
John Woo,24
Jerry Zucker,3
Adam Resnick,1
Daniel Algrant,3
Nick Hamm,6
Jan Bucquoy,1
Anthony Mann,36
Robert Downey Sr.,10
Julian Stone,1
Lisa Hayes,1
Daniel Pyne,1
Santosh Sivan,4
Adam Brooks,6
Roger Gnoan M'Bala,2
Aki Kaurismäki,24
Mort Nathan,3
Matteo Garrone,7
Agustín Díaz Yanes,5
"Sergei M. Eisenstein, Dmitri Vasilyev",1
Evelyn Purcell,4
Skip Woods,1
Judy Irving,2
Lee Grant,4
Jim O'Connolly,7
Allen Coulter,2
David Von Ancken,1
Jeremy Brock,1
Andy Hurst,2
Tony Krantz,3
Jesse V. Johnson,14
Michael Feifer,36
"Sam Dunn, Scot McFadyen",3
Priyadarshan,18
"Özhan Eren, Murat Saraçoglu",1
Hoite C. Caston,1
Riccardo Donna,2
"Don Taylor, Italo Zingarelli",1
Keith Melton,2
Eli Craig,2
Rod Holcomb,9
"Howard Hawks, W.S. Van Dyke",1
"Fred Niblo, Mauritz Stiller",1
Assaf Bernstein,2
Velcrow Ripper,3
Pierre Jolivet,7
